beat,station_id,distance_to_station_km,map_lat,map_lon
0,KSAN,3.23,32.707137,-117.179477
9,KSDM,6.25,32.608328,-116.928931
111,KMYF,2.92,32.817705,-117.170528
112,KMYF,4.56,32.810479,-117.187691
113,KMYF,7.48,32.82445,-117.218644
114,KMYF,6.27,32.829658,-117.204269
115,KNKX,6.58,32.869663,-117.211979
116,KMYF,6.12,32.790877,-117.197702
121,KSAN,7.12,32.774812,-117.251782
122,KSAN,8.49,32.801389,-117.235779
123,KSAN,5.85,32.77783,-117.22767
124,KNKX,11.4,32.838854,-117.258369
126,KNKX,9.61,32.892381,-117.240328
231,KNKX,10.16,32.950705,-117.094026
232,KNKX,13.94,32.98106,-117.075708
233,KNKX,10.55,32.962181,-117.122992
234,KRNM,14.49,33.03363,-117.070408
235,KRNM,8.75,33.082709,-116.995138
241,KNKX,8.22,32.886345,-117.056465
242,KNKX,5.67,32.919479,-117.142617
243,KNKX,1.09,32.870392,-117.15309
245,KSEE,12.36,32.932043,-117.00773
246,KNKX,8.52,32.931411,-117.089761
311,KMYF,2.67,32.792845,-117.130851
312,KMYF,5.71,32.834441,-117.082568
313,KMYF,1.65,32.830386,-117.142715
314,KMYF,2.72,32.794478,-117.153724
315,KMYF,4.71,32.773422,-117.142133
316,KMYF,4.11,32.782922,-117.119246
321,KMYF,4.33,32.795698,-117.099792
322,KMYF,5.96,32.796648,-117.07994
323,KMYF,7.69,32.787195,-117.064574
324,KSEE,5.5,32.818672,-117.030474
325,KSEE,7.74,32.803113,-117.050781
326,KMYF,7.72,32.76975,-117.077583
327,KMYF,9.01,32.771874,-117.05843
431,KSAN,11.17,32.718616,-117.075499
432,KSAN,11.47,32.701027,-117.077274
433,KSAN,12.69,32.721822,-117.058673
434,KSEE,13.55,32.712149,-117.028376
435,KMYF,12.41,32.731642,-117.052032
436,KSAN,14.36,32.706843,-117.043518
437,KSDM,13.77,32.687081,-117.036021
438,KSDM,13.68,32.675753,-117.059494
439,KSAN,12.66,32.693451,-117.066981
441,KSAN,8.91,32.698898,-117.107698
442,KSAN,9.0,32.691731,-117.11122
443,KSAN,9.65,32.686048,-117.107221
444,KSAN,8.16,32.712595,-117.109927
445,KSAN,9.64,32.713235,-117.093432
446,KSAN,10.43,32.699138,-117.08992
447,KSAN,9.33,32.72738,-117.094079
451,KSAN,11.09,32.731779,-117.074981
452,KSAN,12.79,32.702318,-117.062102
511,KSAN,7.3,32.692353,-117.132847
512,KSAN,6.99,32.699801,-117.130528
514,KSAN,5.35,32.70975,-117.143875
515,KSAN,6.04,32.710271,-117.135226
516,KSAN,6.9,32.71178,-117.124473
517,KSAN,5.86,32.716322,-117.134338
518,KSAN,6.29,32.723164,-117.127412
521,KSAN,4.56,32.712129,-117.152007
522,KSAN,3.51,32.711307,-117.166978
523,KSAN,4.01,32.710963,-117.160122
524,KSAN,3.82,32.715708,-117.158663
525,KSAN,3.52,32.714112,-117.163782
526,KSAN,3.69,32.721528,-117.15667
527,KSAN,2.25,32.724945,-117.17173
528,KSAN,2.56,32.725305,-117.167872
529,KSAN,2.7,32.731601,-117.164593
531,KSAN,4.39,32.730045,-117.146633
541,KSAN,4.6,32.707312,-117.155533
611,KSAN,1.02,32.740871,-117.200291
612,KSAN,2.57,32.742035,-117.218981
613,KSAN,3.96,32.743586,-117.233933
614,KSAN,5.32,32.746202,-117.248084
615,KNZY,3.75,32.728738,-117.234759
616,KNZY,2.86,32.715475,-117.238924
617,KNZY,2.98,32.694654,-117.246619
618,KNZY,4.51,32.727367,-117.250042
621,KMYF,4.7,32.784744,-117.173504
622,KSAN,4.07,32.770533,-117.193038
623,KSAN,3.66,32.764147,-117.177951
624,KSAN,4.89,32.758009,-117.149716
625,KSAN,2.26,32.75402,-117.196295
626,KSAN,2.13,32.749817,-117.180744
627,KSAN,3.36,32.750458,-117.163353
628,KSAN,1.75,32.739694,-117.175973
711,KSDM,10.38,32.548115,-117.086828
712,KSDM,6.64,32.555674,-117.048012
713,KSDM,1.13,32.564554,-116.987888
714,KSDM,5.64,32.544516,-117.030395
721,KSDM,11.15,32.582582,-117.098258
722,KSDM,9.87,32.570396,-117.085163
723,KSDM,7.23,32.578403,-117.056757
724,KSDM,9.43,32.585699,-117.079303
725,KSDM,3.74,32.579467,-117.018968
811,KMYF,6.59,32.75928,-117.117798
812,KSAN,6.19,32.73266,-117.127263
813,KSAN,5.74,32.745177,-117.133502
814,KMYF,5.39,32.769946,-117.120379
821,KMYF,9.54,32.76166,-117.060201
822,KMYF,9.38,32.753223,-117.072045
823,KMYF,10.08,32.747687,-117.068233
824,KMYF,7.39,32.763683,-117.090209
825,KMYF,6.45,32.766142,-117.103491
826,KMYF,8.55,32.753377,-117.08583
827,KMYF,9.58,32.742553,-117.085107
828,KMYF,9.1,32.745331,-117.089601
829,KMYF,9.49,32.740563,-117.0911
831,KMYF,8.08,32.75256,-117.09654
832,KMYF,7.69,32.752778,-117.105098
833,KMYF,8.79,32.745217,-117.096631
834,KSAN,8.11,32.740917,-117.107162
835,KSAN,8.16,32.732997,-117.106197
836,KSAN,9.0,32.734578,-117.097316
837,KSAN,8.01,32.724376,-117.108626
838,KMYF,7.38,32.752062,-117.116592
839,KSAN,7.45,32.743506,-117.114623
841,KMYF,10.79,32.748904,-117.05575
931,KNKX,5.68,32.894821,-117.193628
932,KNKX,11.5,32.920275,-117.248085
933,KNKX,14.0,32.955217,-117.250202
934,KNKX,9.69,32.937283,-117.205305
935,KNKX,13.42,32.972658,-117.214363
936,KNKX,10.65,32.963308,-117.158731
937,KNKX,14.58,32.999782,-117.145503
